"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
18.0102927145007,6.60641470926435,0.373903089479487,17.668788772142,7.2946348097866e-70,2.35215499441569e-65,"AC132825.1"
545.005340301349,4.91623228763234,0.289504124053351,16.9815621926213,1.12452531543317e-64,1.81301593980713e-60,"MTCO1P40"
985.133654889765,5.74501543376272,0.362659269082642,15.8413583314578,1.61298562350514e-56,1.73369071433078e-52,"MTND1P23"
23.3129767316616,3.88683492997886,0.267980013838453,14.5041970641958,1.13963203799692e-47,9.18685876630268e-44,"MTND4P24"
28.136944293725,4.19746272134286,0.307187410344946,13.6641756139337,1.66175029272269e-42,1.07166276377686e-38,"IGLVI-70"
21.400769506299,3.41674660186068,0.250685799042103,13.6295977471258,2.67048183657739e-42,1.4351614470073e-38,"MTATP8P2"
4775.1806304963,2.16700140362221,0.168085646672617,12.8922453910828,4.97732204474682e-38,2.2749205598731e-34,"MTCO1P12"
30.3220541118826,3.76372433950504,0.29215682459539,12.8825480791607,5.6440888444673e-38,2.2749205598731e-34,"MTCO1P53"
3.86882496489949,3.39286628839366,0.300158739736436,11.3035732072065,1.25985274614096e-29,4.51377242214615e-26,"KRT8P17"
79.4945498510587,1.79347197010015,0.167834450921654,10.685958456392,1.18419472019447e-26,3.81843587526706e-23,"SORD2P"
29.8687380622007,2.08661055428737,0.203564950819998,10.2503429292818,1.17924407357226e-24,3.16872709602813e-21,"RPL29P11"
1.8743858215149,4.70067176431029,0.458259601754626,10.2576612608049,1.09322352880665e-24,3.16872709602813e-21,"RPS26P34"
31.1630586439143,-1.32962684570315,0.130062707032033,-10.2229676441817,1.56475686520479e-24,3.88119885527141e-21,"AL589880.1"
6.21800831424686,2.02805753168809,0.203201460697023,9.98052634430595,1.85480235133541e-23,4.27200727277216e-20,"ZBTB8OSP2"
1.5300884058268,4.8413903105286,0.512624270412358,9.44432519091254,3.57701680394787e-21,7.68939378955328e-18,"RPS26P4"
